,0,1,btc
361,19343430,193434,62516.70631924386
362,19343433,193434,62516.70631924386
363,19343436,193434,62516.70631924386
364,19343439,193434,62516.70631924386
365,19343440,193434,62516.70631924386
366,19343449,193434,62516.70631924386
367,19343450,193434,62516.70631924386
368,19343453,193434,62516.70631924386
369,19343454,193434,62516.70631924386
370,19343455,193434,62516.70631924386
371,19343456,193434,62516.70631924386
372,19343458,193434,62516.70631924386
373,19343465,193434,62516.70631924386
374,19343466,193434,62516.70631924386
375,19343468,193434,62516.70631924386
376,19345798,193457,62235.10684887366
377,19345799,193457,62235.10684887366
378,19345802,193458,62156.490948002094
379,19345805,193458,62156.490948002094
380,19345807,193458,62156.490948002094
381,19345808,193458,62156.490948002094
382,19345811,193458,62156.490948002094
383,19345812,193458,62156.490948002094
384,19345815,193458,62156.490948002094
385,19345820,193458,62156.490948002094
386,19345823,193458,62156.490948002094
387,19345825,193458,62156.490948002094
388,19345828,193458,62156.490948002094
389,19345832,193458,62156.490948002094
390,19345833,193458,62156.490948002094
391,19345834,193458,62156.490948002094
392,19345838,193458,62156.490948002094
393,19345839,193458,62156.490948002094
394,19345841,193458,62156.490948002094
395,19345843,193458,62156.490948002094
396,19345844,193458,62156.490948002094
397,19345846,193458,62156.490948002094
398,19345847,193458,62156.490948002094
399,19345850,193458,62156.490948002094
400,19345851,193458,62156.490948002094
401,19345852,193458,62156.490948002094
402,19345856,193458,62156.490948002094
403,19345857,193458,62156.490948002094
404,19345858,193458,62156.490948002094
405,19345860,193458,62156.490948002094
406,19345862,193458,62156.490948002094
407,19345864,193458,62156.490948002094
408,19345865,193458,62156.490948002094
409,19345867,193458,62156.490948002094
410,19345869,193458,62156.490948002094
411,19345871,193458,62156.490948002094
412,19345872,193458,62156.490948002094
413,19345879,193458,62156.490948002094
414,19345880,193458,62156.490948002094
415,19345881,193458,62156.490948002094
416,19345883,193458,62156.490948002094
417,19345884,193458,62156.490948002094
418,19345888,193458,62156.490948002094
419,19345891,193458,62156.490948002094
420,19345894,193458,62156.490948002094
421,19345895,193458,62156.490948002094
422,19345900,193459,62044.33499079171
423,19345901,193459,62044.33499079171
424,19345903,193459,62044.33499079171
425,19346300,193463,62014.49599428897
426,19346305,193463,62014.49599428897
427,19346307,193463,62014.49599428897
428,19346314,193463,62014.49599428897
429,19346320,193463,62014.49599428897
430,19346321,193463,62014.49599428897
431,19346336,193463,62014.49599428897
432,19346338,193463,62014.49599428897
433,19346340,193463,62014.49599428897
434,19346343,193463,62014.49599428897
435,19346355,193463,62014.49599428897
436,19346358,193463,62014.49599428897
437,19346363,193463,62014.49599428897
438,19346375,193463,62014.49599428897
439,19346376,193463,62014.49599428897
440,19346378,193463,62014.49599428897
441,19346379,193463,62014.49599428897
442,19346380,193463,62014.49599428897
443,19346383,193463,62014.49599428897
444,19346391,193463,62014.49599428897
445,19346397,193463,62014.49599428897
446,19347884,193478,61921.466479540795
447,19347889,193478,61921.466479540795
448,19347890,193478,61921.466479540795
449,19347894,193478,61921.466479540795
450,19347895,193478,61921.466479540795
451,19347899,193478,61921.466479540795
452,19347919,193479,61921.466479540795
453,19347921,193479,61921.466479540795
454,19347923,193479,61921.466479540795
455,19347924,193479,61921.466479540795
456,19347925,193479,61921.466479540795
457,19347941,193479,61921.466479540795
458,19347942,193479,61921.466479540795
459,19347951,193479,61921.466479540795
460,19347954,193479,61921.466479540795
461,19347955,193479,61921.466479540795
462,19347956,193479,61921.466479540795
463,19347957,193479,61921.466479540795
464,19347958,193479,61921.466479540795
465,19347963,193479,61921.466479540795
466,19347966,193479,61921.466479540795
467,19347970,193479,61921.466479540795
468,19347975,193479,61921.466479540795
469,19347981,193479,61921.466479540795
470,19347982,193479,61921.466479540795
471,19347983,193479,61921.466479540795
472,19347985,193479,61921.466479540795
473,19348187,193481,61749.492772516955
474,19348188,193481,61749.492772516955
475,19348196,193481,61749.492772516955
476,19348198,193481,61749.492772516955
477,19348201,193482,61842.06638944912
478,19348212,193482,61842.06638944912
